order_id,customer_name,customer_email,customer_age,customer_city,address,purchase_date,category,product,quantity,unit_price,total_price,payment_method
e53a79ae-e1e8-4b21-a3c4-062ba021b9c7,Jordan Hatfield,mary64@example.com,66,Artvin,"94337 Liu Knolls, Dawnfort, PW 99539",2024-04-25,Beauty,Lipstick,2,1018.88,2037.76,Credit Card
2ec21a94-2958-467f-986f-8284e1c3f22e,Tiffany Kemp,andersontimothy@example.net,52,Elazığ,"PSC 8378, Box 2839, APO AP 93420",2024-07-23,Office Supplies,Notebook,5,1780.31,8901.55,Debit Card
1c4ad2b0-9e2c-4085-8cd9-c61370a5f684,Maria Garcia,hherrera@example.net,60,Elazığ,"585 Michael Station Suite 002, North Jessica, ND 23099",2024-08-21,Electronics,Camera,4,1448.22,5792.88,Cash on Delivery
cc387e0a-1b55-4047-908b-76a1f78147e8,Jonathan Pace,patrick35@example.com,56,Bursa,"08565 Martin Springs, North Jenniferstad, FM 49508",2024-06-11,Clothing,T-shirt,2,847.11,1694.22,Cash on Delivery
ccd0e189-293b-4a7e-8500-ab3f3670fe63,Dr. James Lopez,ricky66@example.org,63,Çankırı,"112 Williams Ramp Suite 868, New Patrick, MN 60822",2024-05-08,Home & Kitchen,Air Fryer,5,1276.47,6382.35,Bank Transfer
47265a19-f979-4050-b0c3-a9256286cda5,David Foster,caitlin52@example.com,69,Kayseri,"1484 Clayton Haven, Huynhtown, AS 47201",2024-07-23,Office Supplies,Stapler,5,1142.35,5711.75,Debit Card
1f9b234b-2ada-4560-a604-b44b78975f3b,Andrew Pham,qadams@example.com,46,İstanbul,"548 Nichols Freeway Apt. 134, North Matthewshire, AR 49572",2024-04-13,Grocery,Milk,5,1196.38,5981.9,Credit Card
9c44bbfa-0881-411f-8e1b-4b00eab9e8a7,Amanda Schneider,amberbradley@example.org,62,Balıkesir,"USS Rose, FPO AA 23256",2024-10-16,Jewelry,Ring,2,1748.62,3497.24,Cash on Delivery
344cf15e-d13b-49fa-9e2a-6f48f1795ed6,Amanda Collins,smithanthony@example.org,18,Şanlıurfa,"2084 Cook Lake Suite 418, Lake Caleb, VI 71728",2024-09-03,Furniture,Coffee Table,2,795.68,1591.36,Debit Card
8ec4ebf3-3b5f-4af4-abf8-80e177c4bf6e,Jill Miller,barnettraymond@example.net,37,Adıyaman,"0324 Ronald Hollow Apt. 631, Clintonstad, WA 06733",2024-04-30,Clothing,Sweater,3,2162.62,6487.86,Debit Card
48e4d9e5-fe1d-44ad-b005-addbbc7a10c5,Michael Wolfe,gbowers@example.com,38,Gümüşhane,"316 Day Hollow Suite 643, Peterport, MP 95744",2024-03-31,Toys,Board Game,2,539.7,1079.4,Credit Card
7c3a72d1-c63a-49d4-b4aa-1e4689f47d66,Raymond Simpson,tclayton@example.com,26,Kilis,"PSC 8141, Box 7386, APO AE 60346",2024-08-16,Baby Products,Bottle Warmer,1,1622.25,1622.25,PayPal
b10dfb7a-f117-43bc-8d14-f1185fbf46b3,Miguel Kirk,wellsthomas@example.net,67,Van,"869 Angela Harbor Apt. 734, Lake Christina, TN 64502",2024-05-31,Office Supplies,Stapler,3,2478.72,7436.16,PayPal
368b2bd0-dc26-4a42-88a8-81ed1495a437,Sarah Caldwell,millerallen@example.com,50,Adıyaman,"0972 Michael Mountains, South James, MH 83605",2024-10-08,Electronics,Smartphone,4,947.68,3790.72,Bank Transfer
02a7937e-7c39-420d-a50f-720e234a1dad,Christian Martin,sarabailey@example.net,45,Sivas,"PSC 1557, Box 5191, APO AE 03141",2024-03-21,Tools & Hardware,Drill,2,1079.53,2159.06,Credit Card
d6fd5bf3-48da-4c88-9ad3-d2d0cf805663,Jonathan Morales,elizabeth95@example.org,69,Kastamonu,"8264 Nicholas Fields, North Crystal, MA 33160",2024-03-20,Footwear,Sneakers,3,1799.63,5398.89,PayPal
ee10794b-fbd8-4cc9-9aba-965e57ff1036,Charles Bowman,jake77@example.org,35,Düzce,"70814 Thomas Ferry Suite 607, Elizabethshire, MO 57470",2024-09-13,Footwear,Sneakers,3,1926.59,5779.77,Cash on Delivery
c0313c8b-78b6-4300-a513-4f9acaf89463,Jesse Conner,jennifer78@example.com,41,Erzurum,"191 Phillip Branch, South Loriburgh, TN 79022",2025-03-12,Travel Accessories,Neck Pillow,1,633.33,633.33,PayPal
4539cc3a-16b0-47a9-8aa0-c029743b98f2,Mark Jenkins,karen82@example.net,46,İzmir,"96523 John Via, Perezport, NV 83289",2024-05-27,Pet Supplies,Dog Food,3,1960.25,5880.75,Credit Card
4c735e65-eacb-440c-b104-3e51e76cb4ae,Mr. Steven Dawson,toddmarsh@example.org,52,Van,"41510 Lisa Circle, Michaeltown, OK 40609",2024-11-18,Baby Products,Bottle Warmer,3,258.71,776.13,Bank Transfer
4f614301-4252-41fa-90c9-216a7266a84a,Jodi Thomas,ashley15@example.net,68,İzmir,"704 Simmons Canyon, Aaronfort, MI 50557",2024-11-25,Health,Hand Sanitizer,4,1118.6,4474.4,Credit Card
c1dbeb4f-4b7f-4977-9fba-724c50128aaa,Danielle Wright,ericsanchez@example.net,28,Çanakkale,"49742 Sanders Forest Apt. 556, East Chelseastad, UT 76482",2025-01-04,Clothing,T-shirt,3,374.31,1122.93,PayPal
